title,lyrics
A Taste of Honey,Lyrics not found for 'A Taste of Honey' by 'The Beatles'.
Twist and Shout,"Well, 
shake
 it up baby now
Twist and shout
Come on, come on, come, come on baby now
Come on and work it on out
Well, work it on out, honey
You know you look so good
You know you got me goin' now
Just like I know you would

Well, 
shake
 it up baby now
Twist and shout
Come on, come on, come, come on baby now
Come on and work it on out
You know you twist, 
little
 girl
You know you 
twist
 so fine
Come on and 
twist
 a 
little
 closer now
And let me know that you're mine, woo

Ah, ah, ah, ah, wow
Baby now
Twist and shout
Come on, come on, come, come on baby now
Come on and work it on out
You know you twist, 
little
 girl
You know you 
twist
 so fine
Come on and 
twist
 a 
little
 closer now
And let me know that you're mine
Well, 
shake
 it, 
shake
 it, 
shake
 it, baby now
Well, 
shake
 it, 
shake
 it, 
shake
 it, baby now
Well, 
shake
 it, 
shake
 it, 
shake
 it, baby now
Ah, ah, ah, ah"
Money (That's What I Want),"The best 
things
 in life are free
But you can keep them for the 
birds
 and bees
Now give me money
That's what I want
That's what I want, yeah
That's what I want

You're lovin' 
gives
 me a thrill
But you're lovin' don't pay my bills
Now give me money
That's what I want
That's what I want, yeah
That's what I want

Money don't get 
everything
 it's true
What it don't get, I can't use
Now give me money
That's what I want
That's what I want, yeah
That's what I want, wah

Money don't get 
everything
 it's true
What it don't get, I can't use
Now give me money
That's what I want
That's what I want, yeah
That's what I want

Well now give me money
A lot of money
Wow, yeah, I 
wanna
 be free
Oh I want money
That's what I want
That's what I want, well
Now give me money
A lot of money
Wow, yeah, you need money
Now, give me money
That's what I want, yeah
That's what I want"
Rock and Roll Music,"Just let me hear some of that rock and roll music
Any old way you choose it
It's got a back beat, you can't lose it
Any old time you use it
It's gotta be rock roll music
If you want to dance with me
If you want to dance with me

I've got no kick against modern jazz
Unless they try to play it too darn fast
And change the beauty of the melody
Until they sound just like a symphony

That's why I go for that that rock and roll music
Any old way you choose it
It's got a back beat, you can't lost it
Any old time you use it
It's gotta be rock roll music
If you want to dance with me
If you want to dance with me

I took my loved one over 'cross the tracks
So she can hear my man a'wail a sax
I must admit they have a rockin' band
Man, they were goin' like a hurricane

That's why I go for that that rock and roll music
Any old way you choose it
It's got a back beat, you can't lost it
Any old time you use it
It's gotta be rock roll music
If you want to dance with me
If you want to dance with me

Way down South they gave a jubilee
The jokey folks they had a jamboree
They're drinkin' home brew from a water cup
The folks dancin' got all shook up

And started playin' that that rock and roll music
Any old way you choose it
I'm home - leave it to me (leave it to me)
I'm home - leave it to me (leave it to me now that you've seen)
I'm home - leave it to me (leave it to me)
Any old time you use it
It's gotta be rock roll music
If you want to dance with me
If you want to dance with me

Don't care to hear 'em play a tango
I'm in the mood to gear a mambo
It's way to early for a congo
So keep a rockin' that piano
So I can gear some of that

Rock and roll music
Any old way you choose it
It's got a back beat, you can't lost it
Any old time you use it
It's gotta be rock roll music
If you want to dance with me
If you want to dance with me"
Eight Days a Week,"Oh, I need your love, babe
Guess you know it's true
Hope you need my love babe
Just like I need you

Hold me, love me, hold me, love me
I ain't got 
nothing
 but love, babe
Eight days a week

Love you 
every
 day, girl
Always on my mind
One 
thing
 I can say, girl
Love you all the time

Hold me, love me, hold me, love me
I ain't got 
nothing
 but love, girl
Eight days a week

Eight days a week
I love you
Eight days a week
Is not 
enough
 to show I care

Ooh I need your love, babe
Guess you know it's true
Hope you need my love babe
Just like I need you

Hold me, love me, hold me, love me
I ain't got 
nothing
 but love, babe
Eight days a week

Eight days a week
I love you
Eight days a week
is not 
enough
 to show I care

Love you 
every
 day, girl
Always on my mind
One 
thing
 I can say girl
Love you all the time

Hold me, love me, hold me, love me
I ain't got 
nothing
 but love, babe
Eight days a week
Eight days a week
Eight days a week"
I'll Follow the Sun,"One day, you'll look
To see I've gone
But tomorrow may rain, so
I'll follow the sun
One day, you'll know
I was the one
But tomorrow may rain, so
I'll follow the sun
And now the time has come
And so, my love, I must go
And though I lose a friend
In the end you will know
Oh-oh-oh
One day, you'll find
That I have gone
But tomorrow may rain, so
I'll follow the sun

And now the time has come
And so, my love, I must go
And though I lose a friend
In the end you will know
Oh-oh-oh
One day, you'll find
That I have gone
But tomorrow may rain, so
I'll follow the sun"
Baby's in Black,"Oh dear, what can I do?
Baby's in black and I'm feeling blue
Tell me, oh what can I do?

She thinks of him
And so she dresses in black
And though he'll never come back
She's dressed in black

Oh dear, what can I do?
Baby's in black and I'm feeling blue
Tell me, oh what can I do?

I think of her
But she only thinks of him
And though it's only a whim
She thinks of him

Oh how long will it take
Till she sees the mistake she has made?
Dear, what can I do?
Baby's in black and I'm feeling blue
Tell me, oh what can I do?

Oh how long it will take
Till she sees the mistake she has made?
Dear, what can I do?
Baby's in black and I'm feeling blue
Tell me, oh what can I do?

She thinks of him
And so she dresses in black
And though he'll never come back
She's dressed in black

Oh dear, what can I do?
Baby's in black and I'm feeling blue
Tell me, oh what can I do?"
Things We Said Today,"You say you will love me
If I have to go
You'll be 
thinking
 of me
Somehow I will know

Someday when I'm lonely
Wishing you weren't so far away
Then I will remember
Things we said today

You say you'll be mine, girl
'Til the end of time
These days such a kind girl
Seems so hard to find

Someday when we're dreaming
Deep in love, not a lot to say
Then we will remember
The 
things
 we said today

Me, I'm just the 
lucky
 kind
Love to hear you say that love is luck
And, 
though
 we may be blind
Love is here to stay
And that's enough
To make you mine, girl
Be the only one
Love me all the time, girl
We'll go on and on

Someday when we're dreaming
Deep in love, not a lot to say
Then we will remember
Things we said today

Me, I'm just the 
lucky
 kind
Love to hear you say that love is luck
And, 
though
 we may be blind
Love is here to stay
And that's enough
To make you mine, girl
Be the only one
Love me all the time, girl
We'll go on and on

Someday when we're dreaming
Deep in love, not a lot to say
Then we will remember
The 
things
 we said today"
Tell Me Why,"Tell me why you cried, and why you lied to me
Tell me why you cried, and why you lied to me

Well, I gave you 
everything
 I had
But you left me 
sitting
 on my own
Did you have to 
treat
 me oh, so bad
All I do is hang my head and moan

Tell me why you cried, and why you lied to me
Tell me why you cried, and why you lied to me

If there's 
something
 I have said or done
Tell me what and I'll apologize
If you don't 
really
 can't go on
Holding back 
these
 tears in my eyes

Tell me why you cried, and why you lied to me
Tell me why you cried, and why you lied to me

Well, I beg you on my 
bended
 knees
If you'll only 
listen
 to my pleas
Is 
there
 anything I can do
'Cause I 
really
 can't 
stand
 it, I'm so in love with you

Tell me why you cried, and why you lied to me
Tell me why you cried, and why you lied to me"
Love Me Do,"Love, love me do
You know I love you
I'll 
always
 be true
So please, love me do
Whoa, love me do

Love, love me do
You know I love you
I'll 
always
 be true
So please, love me do
Whoa, love me do

Someone to love
Somebody new
Someone to love
Someone like you

Love, love me do
You know I love you
I'll 
always
 be true
So please, love me do
Whoa, love me do

Love, love me do
You know I love you
I'll 
always
 be true
So please, love me do
Whoa, love me do
Yeah, love me do
Whoa, oh, love me do"
Love Me Do,"Love, love me do
You know I love you
I'll 
always
 be true
So please, love me do
Whoa, love me do

Love, love me do
You know I love you
I'll 
always
 be true
So please, love me do
Whoa, love me do

Someone to love
Somebody new
Someone to love
Someone like you

Love, love me do
You know I love you
I'll 
always
 be true
So please, love me do
Whoa, love me do

Love, love me do
You know I love you
I'll 
always
 be true
So please, love me do
Whoa, love me do
Yeah, love me do
Whoa, oh, love me do"
From Me To You,"Da-da da, da-da da da da
Da-da da, da-da da da da

If there's anything that you want
If there's anything I can do
Just call on me and I'll send it along
With love, from me to you

I got everything that you want
Like a heart that's oh so true
Just call on me and I'll send it along
With love, from me to you

I got arms that long to hold you
And keep you by my side
I got lips that long to kiss you
And keep you satisfied, ooh

If there's anything that you want
If there's anything I can do
Just call on me and I'll send it along
With love, from me to you

Call on me
To you
Just call on me and I'll send it along
With love, from me to you

I got arms that long to hold you
And keep you by my side
I got lips that long to kiss you
And keep you satisfied, ooh

If there's anything that you want
If there's anything I can do
Just call on me and I'll send it along
With love, from me to you
To you, to you, to you"
She Loves You,"She loves you, yeah, yeah, yeah
She loves you, yeah, yeah, yeah
She loves you, yeah, yeah, yeah

You think you've lost your love
Well, I saw her yesterday-yi-yay
It's you she's thinking of
And she told me what to say-yi-yay

She says she loves you
and you know that can't be bad
Yes, she loves you
and you know you should be glad

She said you hurt her so
She almost lost her mind
And now she says she knows
You're not the hurting kind

She says she loves you
and you know that can't be bad
Yes, she loves you
and you know you should be glad

Oo, she loves you, yeah, yeah, yeah
She loves you, yeah, yeah, yeah
With a love like that
You know you should be glad

You know it's up to you
I think it's only fair
Pride can hurt you too
Apologize to her

Because she loves you
and you know that can't be bad
Yes, she loves you
and you know you should be glad

Oo, she loves you, yeah, yeah, yeah
She loves you, yeah, yeah, yeah
With a love like that
You know you should be glad
With a love like that
you know you should be glad
With a love like that
you know you should be glad
Yeah, yeah, yeah,
Yeah, yeah, yeah, yeah"
I Want To Hold Your Hand,"Oh yeah I tell you somethin'
I think you'll understand
When I say that somethin'
I want to hold your hand
I want to hold your hand
I want to hold your hand

Oh please say to me
You'll let me be your man
And please say to me
You'll let me hold your hand
Now, let me hold your hand
I want to hold your hand

And when I touch you
I feel happy inside
It's such a feelin' that my love
I can't hide
I can't hide
I can't hide

Yeah, you got that somethin'
I think you'll understand
When I say that somethin'
I want to hold your hand
I want to hold your hand
I want to hold your hand

And when I touch you
I feel happy inside
It's such a feelin' that my love
I can't hide
I can't hide
I can't hide

Yeah, you got that somethin'
I think you'll understand
When I feel that somethin'
I want to hold your hand
I want to hold your hand
I want to hold your hand
I want to hold your hand"
Can’t Buy Me Love,"You say you want a revolution
Well, you know
We all want to change the world
You tell me that it's evolution
Well, you know
We all want to change the world

But when you talk about destruction
Don't you know that you can count me out
Don't you know it's gonna be 
All right, all right, all right

You say you got a real solution
Well, you know
We'd all love to see the plan
You ask me for a contribution
Well, you know
We're doing what we can

But if you want money for people with minds that hate
All I can tell is brother you have to wait
Don't you know it's gonna be 
All right, all right, all right

You say you'll change the constitution
Well, you know
We all want to change your head
You tell me it's the institution
Well, you know
You better free you mind instead

But if you go carrying pictures of chairman Mao
You ain't going to make it with anyone anyhow
Don't you know it's gonna be 
All right, all right, all right
All right, all right, all right
All right, all right, all right
All right, all right"
A Hard Day's Night,"It's been a hard day's night, and I been 
working
 like a dog
It's been a hard day's night, I 
should
 be 
sleeping
 like a log
But when I get home to you I'll find the 
things
 that you do
Will make me feel alright

You know I work all day to get you 
money
 to buy you things
And it's 
worth
 it just to hear you say you're 
going
 to give me everything
So why on 
earth
 should I moan, 'cause when I get you alone
You know I feel ok

When I'm home 
everything
 seems to be right
When I'm home 
feeling
 you 
holding
 me tight, tight

Owww!
So why on 
earth
 should I moan, 'cause when I get you alone
You know I feel ok

When I'm home 
everything
 seems to be right
When I'm home 
feeling
 you 
holding
 me tight, tight, yeah

It's been a hard day's night, and I been 
working
 like a dog
It's been a hard day's night, I 
should
 be 
sleeping
 like a log
But when I get home to you I'll find the 
things
 that you do
Will make me feel alright
You know I feel alright
You know I feel alright..."
I Feel Fine,"Baby's good to me, you know
She's happy as can be, you know
She said so
I'm in love with her and I feel fine

Baby says she's mine, you know
She tells me all the time, you know
She said so
I'm in love with her and I feel fine

I'm so glad that she's my little girl
She's so glad, she's telling all the world
That here baby buys her things, you know
He buys her diamond rings, you know
She said so
She's in love with me and I feel fine

Baby says she's mine, you know
She tells me all the time, you know
She said so
I'm in love with her and I feel fine

I'm so glad that she's my little girl
She's so glad, she's telling all the world
That her baby buys her things, you know
He buys her diamond rings, you know
She said so
She's in love with me and I feel fine
She's in love with me and I feel fine"
Eight Days a Week,"Oh, I need your love, babe
Guess you know it's true
Hope you need my love babe
Just like I need you

Hold me, love me, hold me, love me
I ain't got nothing but love, babe
Eight days a week

Love you every day, girl
Always on my mind
One thing I can say, girl
Love you all the time

Hold me, love me, hold me, love me
I ain't got nothing but love, girl
Eight days a week

Eight days a week
I love you
Eight days a week
Is not enough to show I care

Ooh I need your love, babe
Guess you know it's true
Hope you need my love babe
Just like I need you

Hold me, love me, hold me, love me
I ain't got nothing but love, babe
Eight days a week

Eight days a week
I love you
Eight days a week
is not enough to show I care

Love you every day, girl
Always on my mind
One thing I can say girl
Love you all the time

Hold me, love me, hold me, love me
I ain't got nothing but love, babe
Eight days a week
Eight days a week
Eight days a week"
Ticket To Ride,"I think I'm gonna be sad,
I think it's today, yeah.
The girl that's driving me mad
Is going away.

[Chorus]
She's got a ticket to ride,
She's got a ticket to ride,
She's got a ticket to ride,
But she don't care.

She said that living with me
Is bringing her down yeah.
For she would never be free
When I was around.

[Chorus]

I don't know why she's ridin' so high,
She ought to think twice,
She ought to do right by me.
Before she gets to saying goodbye,
She ought to think twice,
She ought to do right by me.

I think I'm gonna' be sad,
I think it's today yeah.
The girl that's driving me mad
Is going away, yeah.

[Chorus]

I don't know why she's ridin' so high,
She ought to think twice,
She ought to do right by me.
Before she gets to saying goodbye,
She ought to think twice,
She ought to do right by me

She said that living with me,
Is bringing her down, yeah.
For she would never be free
When I was around.

[Chorus]

[Repeat: x3]
My baby don't care, my baby don't care."
Help!,"(Help) I need somebody
(Help) not just anybody
(Help) you know I need someone
(Help)

(When) when I was 
younger
 (when I was young) so much 
younger
 than today
(I 
never
 needed) I 
never
 needed anybody's help in any way
(Now) but now 
these
 days are gone (these days are gone) I'm not so self-assured (and now I find)
Now I find I've 
changed
 my mind, I've 
opened
 up the doors

Help me if you can, I'm 
feeling
 down
And I do 
appreciate
 you 
being
 'round
Help me get my feet back on the ground
Won't you please, 
please
 help me?

(Now) and now my life has 
changed
 (my life has changed) in oh-so-many ways (my independence)
My 
independence
 seems to 
vanish
 in the haze
(But) but 
every
 now and then (now and then) I feel so 
insecure
 (I know that I)
I know that I just need you like I 
never
 done before

Help me if you can, I'm 
feeling
 down
And I do 
appreciate
 you 
being
 'round
Help me get my feet back on the ground
Won't you please, 
please
 help me?

When I was younger, so much 
younger
 than today
I 
never
 needed anybody's help in any way
(Now) but now 
these
 days are gone (these days are gone) I'm not so self-assured (and now I find)
Now I find, I've 
changed
 my mind, I've 
opened
 up the doors

Help me if you can, I'm 
feeling
 down
And I do 
appreciate
 you 
being
 'round
Help me get my feet back on the ground
Won't you please, 
please
 help me, help me, help me, ooh?"
Yesterday,"Yesterday, all my 
troubles
 seemed so far away
Now it 
looks
 as 
though
 they're here to stay
Oh, I 
believe
 in yesterday.

Suddenly, I'm not half to man I used to be,
There's a 
shadow
 hanging over me.
Oh, 
yesterday
 came suddenly.

Why she had to go I don't know she wouldn't say.
I said 
something
 wrong, now I long for yesterday.

Yesterday, love was such an easy game to play.
Now I need a 
place
 to hide away.
Oh, I 
believe
 in yesterday."
Day Tripper,"Got a good reason
For taking the easy way out
Got a good reason
For taking the easy way out now
She was a day tripper
One way ticket, yeah
It took me so long to find out
And I found out

She's a big teaser
She took me half the way there
She's a big teaser
She took me half the way there, now
She was a day tripper
One way ticket, yeah
It took me so long to find out
And I found out
Ah, ah, ah, ah, ah, ah

Tried to please her
She only played one night stand
Tried to please her
She only played one night stand, now
She was a day tripper
Sunday driver, yeah
It took me so long to find out
And I found out

Day tripper, day tripper, yeah
Day tripper, day tripper, yeah
Day tripper, day tripper, yeah"
We Can Work It Out,"Try to see it my way,
Do I have to keep on 
talking
 till I can't go on?
While you see it your way,
Run the risk of 
knowing
 that our love may soon be gone
We can work it out,
We can work it out

Think of what you're saying
You can get it 
wrong
 and 
still
 you 
think
 that it's alright
Think of what I'm saying,
We can work it out and get it straight, or say good night
We can work it out,
We can work it out

Life is very short, and there's no time
For 
fussing
 and fighting, my friend
I have 
always
 thought that it's a crime,
So I will ask you once again
Try to see it my way,
Only time will tell if I am 
right
 or I am wrong
While you see it your way
There's a 
chance
 that we may fall 
apart
 before too long
We can work it out,
We can work it out

Life is very short, and there's no time
For 
fussing
 and fighting, my friend
I have 
always
 thought that it's a crime,
So I will ask you once again
Try to see it my way,
Only time will tell if I am 
right
 or I am wrong
While you see it your way
There's a 
chance
 that we may fall 
apart
 before too long
We can work it out,
We can work it out"
Paperback Writer,"Paperback writer
Dear Sir or Madam, will you read my book?
It took me 
years
 to write, will you take a look?
Based on a 
novel
 by a man 
named
 Lear
And I need a job, so I want to be a 
paperback
 writer,
Paperback writer.

It's the 
dirty
 story of a 
dirty
 man
And his 
clinging
 wife doesn't understand.
His son is 
working
 for the 
Daily
 Mail,
It's a 
steady
 job but he 
wants
 to be a 
paperback
 writer,
Paperback writer.

Paperback writer
It's a 
thousand
 pages, give or take a few,
I'll be 
writing
 more in a week or two.
I can make it 
longer
 if you like the style,
I can 
change
 it 
round
 and I want to be a 
paperback
 writer,
Paperback writer.

If you 
really
 like it you can have the rights,
It 
could
 make a 
million
 for you overnight.
If you must 
return
 it, you can send it here
But I need a 
break
 and I want to be a 
paperback
 writer,
Paperback writer.

Paperback writer
Paperback writer, 
paperback
 writer
Paperback writer, 
paperback
 writer"
Yellow Submarine,"In the town where I was born
Lived a man who sailed to sea
And he told us of his life
In the land of submarines
So we sailed up to the sun
Till we found a sea of green
And we lived beneath the waves
In our yellow submarine

We all live in a yellow submarine
Yellow submarine, yellow submarine
We all live in a yellow submarine
Yellow submarine, yellow submarine

And our friends are all aboard
Many more of them live next door
And the band begins to play

We all live in a yellow submarine
Yellow submarine, yellow submarine
We all live in a yellow submarine
Yellow submarine, yellow submarine

(Full speed ahead Mr. Boatswain, full speed ahead
Full speed ahead it is, Sergeant.
Cut the cable, drop the cable
Aye, Sir, aye
Captain, captain)

As we live a life of ease
Every one of us has all we need
Sky of blue and sea of green
In our yellow submarine

We all live in a yellow submarine
Yellow submarine, yellow submarine
We all live in a yellow submarine
Yellow submarine, yellow submarine
We all live in a yellow submarine
Yellow submarine, yellow submarine"
Eleanor Rigby,"Ah look at all the lonely people
Ah look at all the lonely people

Eleanor Rigby, picks up the rice
In the church where a wedding has been
Lives in a dream
Waits at the window, wearing the face 
That she keeps in a jar by the door
Who is it for

All the lonely people
Where do they all come from?
All the lonely people
Where do they all belong?

Father McKenzie, writing the words
Of a sermon that no one will hear
No one comes near
Look at him working, darning his socks
In the night when there's nobody there
What does he care

All the lonely people
Where do they all come from?
All the lonely people
Where do they all belong?

Ah look at all the lonely people
Ah look at all the lonely people

Eleanor Rigby, died in the church
And was buried along with her name
Nobody came
Father McKenzie, wiping the dirt
From his hands as he walks from the grave
No one was saved

All the lonely people
Where do they all come from?
All the lonely people
Where do they all belong?"
Penny Lane,"Penny Lane 
there
 is a 
barber
 showing photographs
Of 
every
 head he's had the 
pleasure
 to know.
And all the 
people
 that come and go
Stop and say ""Hello"".

On the 
corner
 is a 
banker
 with a motorcar,
And 
little
 children 
laugh
 at him 
behind
 his back.
And the 
banker
 never 
wears
 a mac
In the 
pouring
 rain, very strange.

Penny Lane is in my ears and in my eyes.
There 
beneath
 the blue 
suburban
 skies
I sit, and 
meanwhile
 back
In 
Penny
 Lane 
there
 is a 
fireman
 with an hourglass,
And in his 
pocket
 is a 
portrait
 of the Queen.
He 
likes
 to keep his fire 
engine
 clean,
It's a 
clean
 machine.

Penny Lane is in my ears and in my eyes.
A four of fish and 
finger
 pies
In summer. 
Meanwhile
 back
Behind the 
shelter
 in the 
middle
 of the roundabout
The 
pretty
 nurse is 
selling
 poppies from a tray.
And 
though
 she 
feels
 as if she's in a play,
She is anyway.

In 
Penny
 Lane the 
barber
 shaves 
another
 customer,
We see the 
banker
 sitting 
waiting
 for a trim,
And then the 
fireman
 rushes in
From the 
pouring
 rain - very strange.

Penny Lane is in my ears and in my eyes.
There 
beneath
 the blue 
suburban
 skies
I sit, and 
meanwhile
 back.
Penny Lane is in my ears and in my eyes.
There 
beneath
 the blue 
suburban
 skies
Penny Lane!"
All You Need Is Love,"Love, Love, Love.
Love, Love, Love.
Love, Love, Love.
There's 
nothing
 you can do that can't be done.
Nothing you can sing that can't be sung.
Nothing you can say but you can 
learn
 how to play the game.
It's easy.
Nothing you can make that can't be made.
No one you can save that can't be saved.
Nothing you can do but you can 
learn
 how to be you in time.
It's easy.

[Chorus: x2]
All you need is love.
All you need is love.
All you need is love, love.
Love is all you need.

[Chorus: x2]

Nothing you can know that isn't known.
Nothing you can see that isn't shown.
Nowhere you can be that isn't 
where
 you're 
meant
 to be.
It's easy.

[Chorus: x2]

All you need is love (All together, now!)
All you need is love (Everybody!)
All you need is love, love. Love is all you need (love is all you need)."
"Hello, Goodbye","You say ""Yes"", I say ""No"".
You say ""Stop"" and I say ""Go, go, go"".
Oh no.
You say ""Goodbye"" and I say ""Hello, hello, hello"".
I don't know why you say ""Goodbye"", I say ""Hello, hello, hello"".
I don't know why you say goodbye, I say hello.

I say ""High"", you say ""Low"".
You say ""Why?"" And I say ""I don't know"".
Oh no.
You say ""Goodbye"" and I say ""Hello, hello, hello"".
I don't know why you say ""Goodbye"", I say ""Hello, hello, hello"".
(Hello, goodbye, hello, goodbye. Hello, goodbye.)
I don't know why you say ""Goodbye"", I say ""Hello"".

(Hello, goodbye, hello, goodbye. Hello, goodbye. Hello, goodbye.)
Why, why, why, why, why, why, do you
Say ""Goodbye, goodbye, bye, bye"".
Oh no.
You say ""Goodbye"" and I say ""Hello, hello, hello"".
I don't know why you say ""Goodbye"", I say ""Hello, hello, hello"".
I don't know why you say ""Goodbye"", I say ""Hello"".

You say ""Yes"", I say ""No"".
(I say ""Yes"", but I may mean ""No"").
You say ""Stop"", I say ""Go, go, go"".
(I can stay 
still
 it's time to go).
Oh, oh no.

You say ""Goodbye"" and I say ""Hello, hello, hello"".
I don't know why you say ""Goodbye"", I say ""Hello, hello, hello"".
I don't know why you say ""Goodbye"", I say ""Hello, hello, hello"".
I don't know why you say ""Goodbye"", I say ""Hello-wow, oh. Hello"".
Hela, heba, helloa. Hela, heba, helloa. Hela, heba, helloa.
Hela, heba, helloa. (Hela.) Hela, heba, helloa. Hela, heba, helloa.
Hela, heba, helloa. Hela, heba, helloa. Hela, heba, helloa."
Lady Madonna,"Lady Madonna, children at your feet
Wonder how you manage to make ends meet
Who finds the money when you pay the rent?
Did you think that money was heaven sent?

Friday night arrives without a suitcase
Sunday morning creeping like a nun
Monday's child has learned to tie his bootlace
See how they run

Lady Madonna, baby at your breast
Wonders how you manage to feed the rest

See how they run

Lady Madonna lying on the bed
Listen to the music playing in your head

Tuesday afternoon is never ending
Wednesday morning papers didn't come
Thursday night your stockings needed mending
See how they run

Lady Madonna, children at your feet
Wonder how you manage to make ends meet"
Hey Jude,"Hey Jude, don't make it bad
Take a sad song and make it better
Remember to let her into your heart
Then you can 
start
 to make it better

Hey Jude, don't be afraid
You were made to go out and get her
The 
minute
 you let her 
under
 your skin
Then you 
begin
 to make it better

And 
anytime
 you feel the pain, hey Jude, refrain
Don't 
carry
 the 
world
 upon your shoulders
For well you know that it's a fool who 
plays
 it cool
By 
making
 his 
world
 a 
little
 colder
Nah nah nah nah nah nah nah nah nah

Hey Jude, don't let me down
You have 
found
 her, now go and get her
Remember to let her into your heart
Then you can 
start
 to make it better

So let it out and let it in, hey Jude, begin
You're 
waiting
 for 
someone
 to 
perform
 with
And don't you know that it's just you, hey Jude, you'll do
The 
movement
 you need is on your shoulder
Nah nah nah nah nah nah nah nah nah yeah

Hey Jude, don't make it bad
Take a sad song and make it better
Remember to let her 
under
 your skin
Then you'll 
begin
 to make it
Better 
better
 better 
better
 better better, oh

Nah nah nah nah nah nah, nah nah nah, hey Jude
Nah nah nah nah nah nah, nah nah nah, hey Jude
Nah nah nah nah nah nah, nah nah nah, hey Jude
Nah nah nah nah nah nah, nah nah nah, hey Jude
Nah nah nah nah nah nah, nah nah nah, hey Jude
Nah nah nah nah nah nah, nah nah nah, hey Jude
Nah nah nah nah nah nah, nah nah nah, hey Jude
Nah nah nah nah nah nah, nah nah nah, hey Jude
Nah nah nah nah nah nah, nah nah nah, hey Jude
Nah nah nah nah nah nah, nah nah nah, hey Jude
Nah nah nah nah nah nah, nah nah nah, hey Jude
Nah nah nah nah nah nah, nah nah nah, hey Jude
Nah nah nah nah nah nah, nah nah nah, hey Jude
Nah nah nah nah nah nah, nah nah nah, hey Jude
Nah nah nah nah nah nah, nah nah nah, hey Jude
Nah nah nah nah nah nah, nah nah nah, hey Jude"
Get Back,"Jojo was a man who thought he was a loner
But he knew it wouldn't last
Jojo left his home in Tucson, Arizona
For some California grass

Get back, get back
Get back to where you once belonged
Get back, get back
Get back to where you once belonged
Get back Jojo, go home

Get back, get back
Back to where you once belonged
Get back, get back
Back to where you once belonged
Get back Jo

Sweet Loretta Martin thought she was a woman
But she was another man
All the girls around her say she's got it coming
But she gets it while she can

Get back, get back
Get back to where you once belonged
Get back, get back
Get back to where you once belonged
Get back Loretta, go home

Get back, get back
Get back to where you once belonged
Get back, get back
Get back to where you once belonged

Get back, get back
Get back to where you once belonged
Get back, get back, get back"
The Ballad of John and Yoko,"Standing in the dock at Southampton
Trying to get to Holland or France.
The man in the mac said you've got to go back,
You know they didn't even give us a chance.

Christ! You know it ain't easy,
You know how hard it can be.
The way things are going,
They're going to crucify me.
Finally made the plane into Paris,
Honeymooning down by the Seine.

Peter Brown called to say,
You can make it OK,
You can get married in Gibraltar near Spain.

Christ! You know it ain't easy,
You know how hard it can be.
The way things are going,
They're going to crucify me.

Drove from Paris to the Amsterdam Hilton,
Talking in our beds for a week.
The newspapers said, say what're you doing in bed,
I said we're only trying to get us some peace.

Christ! You know it ain't easy,
You know how hard it can be.
The way things are going,
They're going to crucify me.
Saving up your money for a rainy day,
Giving all your clothes to charity.

Last night the wife said,
Oh boy, when you're dead you 
Don't take nothing with you but your soul think!
Made a lightning trip to Vienna,
Eating chocolate cake in a bag.

The newspapers said,
She's gone to his head,
They look just like two Gurus in a drag.
Christ! You know it ain't easy,
You know how hard it can be.

The way things are going,
They're going to crucify me.
Caught the early plane back to London,
Fifty acorns tied in a sack.
The men from the press said we wish you success,
It's good to have the both of you back.

Christ! You know it ain't easy,
You know how hard it can be.
The way things are going,
They're going to crucify me"
Something,"Something in the way she moves
Attracts me like no other lover
Something in the way she woos me
I don't want to leave her now
You know I believe and how

Somewhere in her smile she knows
That I don't need no other lover
Something in her style that shows me
I don't want to leave her now
You know I believe and how

You're asking me will my love grow
I don't know, I don't know
You stick around and it may show
I don't know, I don't know

Something in the way she knows
And all I have to do is think of her
Something in the things she shows me
I don't want to leave her now
You know I believe and how"
Come Together,"Here come old flat top
He come groovin' up slowly
He got joo joo eyeballs
He one holy roller
He got hair down to his knee
Got to be a joker
He just do what he please

He wear no shoeshine
He got toe jam football
He got 
monkey
 finger
He 
shoot
 Coca-Cola
He say I know you, you know me
One 
thing
 I can tell you is
You got to be free
Come together, 
right
 now
Over me

He bad production
He got 
walrus
 gumboot
He got Ono sideboard
He one 
spinal
 cracker
He got feet down 
below
 his knee
Hold you in his armchair
You can feel his disease
Come together, 
right
 now
Over me

He 
roller
 coaster
He got 
early
 warning
He got 
muddy
 water
He one Mojo filter
He say one and one and one is three
Got to be good looking
'Cause he's so hard to see
Come 
together
 right now
Over me

Come together, yeah
Come together, yeah
Come together, yeah
Come together, yeah
Come together, yeah
Come together, yeah
Come together, yeah
Come together, yeah
Come together, yeah"
